orgName,sector,firstName,lastName,email,socialLink,phone,addressStreet,addressCity,addressState,addressCountry,Role,eventId,eventName,eventDate,connections
QUANTIPHI,Business,RAM,Charan,ram.charan@quantiphi.com,https://linkedin.com/in/ramcharan,9876543210,21 Example Street,Chicago,IL,USA,Attendee,EVT-2025-002,Tutor/Mentor Summer Meetup 2025,2025-07-20,"[{""organization"": ""Community Care"", ""connectionType"": ""Networking"", ""description"": ""Met during Tutor/Mentor Summer Meetup 2025""}]"
TATA CONSULTANCY SERVICES,Technology,KISHORE,Kumar,kishore.kumar@tcs.com,https://linkedin.com/in/kishorekumar,9876543210,21 Example Street,Chicago,IL,USA,Attendee,EVT-2025-002,Tutor/Mentor Summer Meetup 2025,2025-07-20,"[{""organization"": ""Community Care"", ""connectionType"": ""Networking"", ""description"": ""Met during Tutor/Mentor Summer Meetup 2025""}]"
IIT BOMBAY,Education,CHARU,Latha,charu.latha@iitb.ac.in,https://linkedin.com/in/charulatha,9876543210,21 Example Street,Chicago,IL,USA,Attendee,EVT-2025-002,Tutor/Mentor Summer Meetup 2025,2025-07-20,"[{""organization"": ""Community Care"", ""connectionType"": ""Networking"", ""description"": ""Met during Tutor/Mentor Summer Meetup 2025""}]"
Community Care,Non-profit,Person1_B,Test,person1_B@communitycare.org,https://linkedin.com/in/person1_b,900000001,10 Sample Road,Chicago,IL,USA,Participant,EVT-2025-002,Tutor/Mentor Summer Meetup 2025,2025-07-20,"[{""organization"": ""Quantiphi"", ""connectionType"": ""Collaboration"", ""description"": ""Discussed projects at Tutor/Mentor Summer Meetup 2025""}]"
Urban Youth Alliance,Community,Person2_B,Test,person2_B@urbanyouthalliance.org,https://linkedin.com/in/person2_b,900000002,11 Sample Road,Chicago,IL,USA,Participant,EVT-2025-002,Tutor/Mentor Summer Meetup 2025,2025-07-20,[]
City Schools District,Education,Person3_B,Test,person3_B@cityschoolsdistrict.org,https://linkedin.com/in/person3_b,900000003,12 Sample Road,Chicago,IL,USA,Participant,EVT-2025-002,Tutor/Mentor Summer Meetup 2025,2025-07-20,"[{""organization"": ""Quantiphi"", ""connectionType"": ""Collaboration"", ""description"": ""Discussed projects at Tutor/Mentor Summer Meetup 2025""}]"
HealthFirst Clinic,Health,Person4_B,Test,person4_B@healthfirstclinic.org,https://linkedin.com/in/person4_b,900000004,13 Sample Road,Chicago,IL,USA,Participant,EVT-2025-002,Tutor/Mentor Summer Meetup 2025,2025-07-20,[]
Metro Tech Hub,Technology,Person5_B,Test,person5_B@metrotechhub.org,https://linkedin.com/in/person5_b,900000005,14 Sample Road,Chicago,IL,USA,Participant,EVT-2025-002,Tutor/Mentor Summer Meetup 2025,2025-07-20,"[{""organization"": ""Quantiphi"", ""connectionType"": ""Collaboration"", ""description"": ""Discussed projects at Tutor/Mentor Summer Meetup 2025""}]"
Neighborhood Center,Community,Person6_B,Test,person6_B@neighborhoodcenter.org,https://linkedin.com/in/person6_b,900000006,15 Sample Road,Chicago,IL,USA,Participant,EVT-2025-002,Tutor/Mentor Summer Meetup 2025,2025-07-20,[]
Youth Sports League,Sports,Person7_B,Test,person7_B@youthsportsleague.org,https://linkedin.com/in/person7_b,900000007,16 Sample Road,Chicago,IL,USA,Participant,EVT-2025-002,Tutor/Mentor Summer Meetup 2025,2025-07-20,"[{""organization"": ""Quantiphi"", ""connectionType"": ""Collaboration"", ""description"": ""Discussed projects at Tutor/Mentor Summer Meetup 2025""}]"
