orgName,sector,firstName,lastName,email,socialLink,phone,addressStreet,addressCity,addressState,addressCountry,Role,eventId,eventName,eventDate,connections
QUANTIPHI,Business,Ram,Charan,ram.charan@quantiphi.com,https://linkedin.com/in/ramcharan,9876543210,21 Example Street,EVANSTON,IL,USA,Attendee,EVT-2025-003,Tutor/Mentor Fall Summit 2025,2025-10-05,"[{""organization"": ""Community Care"", ""connectionType"": ""Networking"", ""description"": ""Met during Tutor/Mentor Fall Summit 2025""}]"
TATA CONSULTANCY SERVICES,Technology,Kishore,Kumar,kishore.kumar@tcs.com,https://linkedin.com/in/kishorekumar,9876543210,21 Example Street,EVANSTON,IL,USA,Attendee,EVT-2025-003,Tutor/Mentor Fall Summit 2025,2025-10-05,"[{""organization"": ""Community Care"", ""connectionType"": ""Networking"", ""description"": ""Met during Tutor/Mentor Fall Summit 2025""}]"
IIT BOMBAY,Education,Charu,Latha,charu.latha@iitb.ac.in,https://linkedin.com/in/charulatha,9876543210,21 Example Street,EVANSTON,IL,USA,Attendee,EVT-2025-003,Tutor/Mentor Fall Summit 2025,2025-10-05,"[{""organization"": ""Community Care"", ""connectionType"": ""Networking"", ""description"": ""Met during Tutor/Mentor Fall Summit 2025""}]"
Community Care,Non-profit,Person1_C,Test,person1_C@communitycare.org,https://linkedin.com/in/person1_c,900000001,10 Sample Road,Evanston,IL,USA,Participant,EVT-2025-003,Tutor/Mentor Fall Summit 2025,2025-10-05,"[{""organization"": ""Quantiphi"", ""connectionType"": ""Collaboration"", ""description"": ""Discussed projects at Tutor/Mentor Fall Summit 2025""}]"
Urban Youth Alliance,Community,Person2_C,Test,person2_C@urbanyouthalliance.org,https://linkedin.com/in/person2_c,900000002,11 Sample Road,Evanston,IL,USA,Participant,EVT-2025-003,Tutor/Mentor Fall Summit 2025,2025-10-05,[]
City Schools District,Education,Person3_C,Test,person3_C@cityschoolsdistrict.org,https://linkedin.com/in/person3_c,900000003,12 Sample Road,Evanston,IL,USA,Participant,EVT-2025-003,Tutor/Mentor Fall Summit 2025,2025-10-05,"[{""organization"": ""Quantiphi"", ""connectionType"": ""Collaboration"", ""description"": ""Discussed projects at Tutor/Mentor Fall Summit 2025""}]"
HealthFirst Clinic,Health,Person4_C,Test,person4_C@healthfirstclinic.org,https://linkedin.com/in/person4_c,900000004,13 Sample Road,Evanston,IL,USA,Participant,EVT-2025-003,Tutor/Mentor Fall Summit 2025,2025-10-05,[]
Metro Tech Hub,Technology,Person5_C,Test,person5_C@metrotechhub.org,https://linkedin.com/in/person5_c,900000005,14 Sample Road,Evanston,IL,USA,Participant,EVT-2025-003,Tutor/Mentor Fall Summit 2025,2025-10-05,"[{""organization"": ""Quantiphi"", ""connectionType"": ""Collaboration"", ""description"": ""Discussed projects at Tutor/Mentor Fall Summit 2025""}]"
Neighborhood Center,Community,Person6_C,Test,person6_C@neighborhoodcenter.org,https://linkedin.com/in/person6_c,900000006,15 Sample Road,Evanston,IL,USA,Participant,EVT-2025-003,Tutor/Mentor Fall Summit 2025,2025-10-05,[]
Youth Sports League,Sports,Person7_C,Test,person7_C@youthsportsleague.org,https://linkedin.com/in/person7_c,900000007,16 Sample Road,Evanston,IL,USA,Participant,EVT-2025-003,Tutor/Mentor Fall Summit 2025,2025-10-05,"[{""organization"": ""Quantiphi"", ""connectionType"": ""Collaboration"", ""description"": ""Discussed projects at Tutor/Mentor Fall Summit 2025""}]"
