orgName,sector,firstName,lastName,email,socialLink,phone,addressStreet,addressCity,addressState,addressCountry,Role,eventId,eventName,eventDate,connections
Miller-Smith University,Computer Vision,Carrie,Johnson,carrie.johnson@millersmithuniversity.edu,https://linkedin.com/in/carriejohnson382,9793430192,79826 Reynolds Track,Millermouth,NC,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Johnson and Sons University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Thompson, Adams and Spears University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Sanchez Group University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Scott, Green and Lopez University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Computer Vision and Robotics""}, {""organization"": ""Fisher, Robinson and Evans University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Computer Vision and Robotics""}]"
Miller-Smith University,NLP,Joshua,Harris,joshua.harris@millersmithuniversity.edu,https://linkedin.com/in/joshuaharris421,4654260341,670 Allison Rue,East Patriciaborough,OH,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Myers-Barr University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Hall, Brock and Wilson University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Rodriguez-Hickman University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Sanchez Group University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Robotics""}]"
Myers-Barr University,Robotics,Joann,Morgan,joann.morgan@myersbarruniversity.edu,https://linkedin.com/in/joannmorgan91,6702547522,608 Patricia Tunnel Suite 410,Lynnland,KY,USA,Panelist,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Sanchez Group University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Ramos-Roth University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Terry Group University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Johnson, Atkinson and Adams University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Robotics and Computer Vision""}]"
Campbell PLC University,Computer Vision,Eileen,Cook,eileen.cook@campbellplcuniversity.edu,https://linkedin.com/in/eileencook739,6260282065,6258 Phillips Squares,Thorntonmouth,IA,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Johnson, Atkinson and Adams University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Scott, Green and Lopez University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Computer Vision and Robotics""}]"
Rodriguez-Hickman University,NLP,John,Dunn,john.dunn@rodriguezhickmanuniversity.edu,https://linkedin.com/in/johndunn56,9872963855,68253 Carlson Ville Suite 189,Greentown,NY,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Wade, Lee and Strickland University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Fisher, Robinson and Evans University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Gray-Brock University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Robotics""}]"
Taylor and Sons University,Robotics,Emily,Martin,emily.martin@taylorandsonsuniversity.edu,https://linkedin.com/in/emilymartin105,5860463726,282 Hebert Meadow,New Sophia,CT,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Anderson-Zimmerman University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Hill-Tapia University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Hernandez-Simon University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Robotics and Computer Vision""}]"
"Wade, Lee and Strickland University",NLP,Erica,Scott,erica.scott@wadeleeandstricklanduniversity.edu,https://linkedin.com/in/ericascott328,8376825730,272 Jason Lane Apt. 355,Lake Victoria,MA,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Terry Group University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Oneill, Gregory and Good University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Solomon Inc University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}]"
Barber-Weber University,Computer Vision,Sandra,Myers,sandra.myers@barberweberuniversity.edu,https://linkedin.com/in/sandramyers49,9347236317,0189 Hines Rest Apt. 316,New Ashley,TX,USA,Speaker,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Barber-Weber University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Ramirez, Kelly and Collins University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Barber-Weber University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Allen and Sons University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Computer Vision and NLP""}, {""organization"": ""Meza-Potter University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Computer Vision and NLP""}]"
Ramirez PLC University,Robotics,Matthew,Mcguire,matthew.mcguire@ramirezplcuniversity.edu,https://linkedin.com/in/matthewmcguire435,4106690930,725 Murray Walks Apt. 581,Jaimeville,TX,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Sanchez Group University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Ramirez, Kelly and Collins University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Scott, Green and Lopez University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}]"
Ruiz-Smith University,NLP,Colleen,Garza,colleen.garza@ruizsmithuniversity.edu,https://linkedin.com/in/colleengarza899,3110070019,1636 Scott Flat Apt. 183,Marymouth,VA,USA,Panelist,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Wade, Lee and Strickland University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Ramirez, Kelly and Collins University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Computer Vision""}, {""organization"": ""Yates, Carter and Foley University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Robotics""}]"
