first_name,last_name,email,org_name,org_type,sector,event_name,event_date,city,state,country
Alice,Johnson,alice@email.com,YouthConnect,NGO,Education,May 2025 Conference,2025-05-14,Chicago,IL,USA
Bob,Smith,bob@email.com,Tech4Teens,Company,Technology,May 2025 Conference,2025-05-14,Chicago,IL,USA
Carla,Nguyen,carla@email.com,YouthConnect,NGO,Education,May 2025 Conference,2025-05-14,Chicago,IL,USA
David,Lee,david@email.com,FutureMinds,University,Research,May 2025 Conference,2025-05-14,Chicago,IL,USA
Ella,Brown,ella@email.com,Tech4Teens,Company,Technology,May 2025 Conference,2025-05-14,Chicago,IL,USA
Frank,Garcia,frank@email.com,OpenFuture,NGO,Education,May 2025 Conference,2025-05-14,Chicago,IL,USA
Grace,Kim,grace@email.com,Tech4Teens,Company,Technology,May 2025 Conference,2025-05-14,Chicago,IL,USA
Henry,Lopez,henry@email.com,YouthConnect,NGO,Education,May 2025 Conference,2025-05-14,Chicago,IL,USA
Isabella,Rodriguez,isabella@email.com,InnovateEd,Startup,EdTech,May 2025 Conference,2025-05-14,Chicago,IL,USA
Jack,Williams,jack@email.com,GreenFuture,Non-Profit,Environment,May 2025 Conference,2025-05-14,Chicago,IL,USA
Karen,Patel,karen@email.com,YouthConnect,NGO,Education,May 2025 Conference,2025-05-14,Chicago,IL,USA
Leo,Adams,leo@email.com,Tech4Teens,Company,Technology,May 2025 Conference,2025-05-14,Chicago,IL,USA
Maya,Chen,maya@email.com,FutureMinds,University,Research,May 2025 Conference,2025-05-14,Chicago,IL,USA
Noah,Davis,noah@email.com,OpenFuture,NGO,Education,May 2025 Conference,2025-05-14,Chicago,IL,USA
Olivia,Martinez,olivia@email.com,InnovateEd,Startup,EdTech,May 2025 Conference,2025-05-14,Chicago,IL,USA
