addressCity,addressCountry,addressState,addressStreet,connections,email,eventDate,eventId,eventName,firstName,lastName,orgName,phone,sector,socialLink,eventType,participantRole,medicalSpecialty
BLOOMINGTON,UNITED STATES,INDIANA,"126, Health Street",[],sahil.nair0@srmist.in.edu,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Sahil,Nair,Regional Health Trust 100,6355699106,Government,https://linkedin.com/in/sahil-nair-0,Medical camp,Patient,Cardiology
BLOOMINGTON,UNITED STATES,INDIANA,"180, Health Street",[],meera.jones1@gmail.com,11/15/2025,EVT-MED-2025-001,Community Medical Camp 2025,Meera,Jones,Urban Wellness Center 158,6376423503,Business,https://linkedin.com/in/meera-jones-1,Medical camp,Nurse,Cardiology
OKKAJ,INDIA,PLEASE SELECT ST,"126, Health Street",[],meera.nguyen2@srmist.in.edu,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,MEERA,N,Regional Health Trust 181,6353761464,Business,LINK,Medical camp,Patient,Orthopedics
OKKAJ,INDIA,PLEASE SELECT ST,"125, Health Street",[],sana.verma3@quantiphi.com,11/13/2025,EVT-MED-2025-001,Community Medical Camp 2025,SANA,V,Public Health Mission 103,6348195573,Education,LINK,Medical camp,Volunteer,Orthopedics
Atlanta,UNITED STATES,Vijay,"148, Health Street",[],kunal.nair4yahoo.com,11/13/2025,EVT-MED-2025-001,Community Medical Camp 2025,Kunal,Nair,Regional Health Trust 91,6378348760,Business,https://linkedin.com/in/kunal-nair-4,Medical camp,Nurse,Orthopedics
Los Angeles,UNITED STATES,Nowhere,"12, Health Street","[{""connectionOrg"": ""Urban Wellness Center 142"", ""connectionType"": ""Shared info / resources"", ""otherText"": """"}]",meera.jones5yahoo.com,11/14/2025,EVT-MED-2025-001,Community Medical Camp 2025,Meera,Jones,Public Health Mission 48,6306092885,Other,https://linkedin.com/in/meera-jones-5,Medical camp,Patient,Orthopedics
Denver,UNITED STATES,Ajay,"113, Health Street",[],dylan.verma6yahoo.com,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Dylan,Verma,Urban Wellness Center 77,6326537975,Education,https://linkedin.com/in/dylan-verma-6,Medical camp,Nurse,Cardiology
BLOOMINGTON,UNITED STATES,INDIANA,"69, Health Street","[{""connectionOrg"": ""Regional Health Trust 12"", ""connectionType"": ""Referral / introduced"", ""otherText"": """"}]",kunal.gupta7yahoo.com,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Kunal,Gupta,Urban Wellness Center 192,6329048546,Business,https://linkedin.com/in/kunal-gupta-7,Medical camp,Patient,General
Denver,UNITED STATES,Ajay,"170, Health Street",[],vikram.sharma8@srmist.in.edu,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Vikram,Sharma,Urban Wellness Center 161,6376256647,Education,https://linkedin.com/in/vikram-sharma-8,Medical camp,Nurse,Cardiology
Atlanta,UNITED STATES,Vijay,"38, Health Street","[{""connectionOrg"": ""Regional Health Trust 183"", ""connectionType"": ""Other"", ""otherText"": """"}, {""connectionOrg"": ""Public Health Mission 174"", ""connectionType"": ""Funding / partnership"", ""otherText"": """"}]",vikram.sharma9@amazon.com,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Vikram,Sharma,LifeAid Foundation,6307811008,Education,https://linkedin.com/in/vikram-sharma-9,Medical camp,Volunteer,Pediatrics
Hyderabad,INDIA,Telangana,"36, Health Street","[{""connectionOrg"": ""Community Medical Foundation 35"", ""connectionType"": ""Referral / introduced"", ""otherText"": """"}]",vikram.khan10@google.com,11/13/2025,EVT-MED-2025-001,Community Medical Camp 2025,Vikram,Khan,Community Medical Foundation 66,6331993980,Business,https://linkedin.com/in/vikram-khan-10,Medical camp,Organizer,Dermatology
Bengaluru,INDIA,Karnataka,"22, Health Street","[{""connectionOrg"": ""Rural Care Initiative 43"", ""connectionType"": ""Met for the first time"", ""otherText"": """"}]",dylan.deshmukh11@srmist.in.edu,11/14/2025,EVT-MED-2025-001,Community Medical Camp 2025,Dylan,Deshmukh,GoodWill Wellness Org,6318492715,Education,https://linkedin.com/in/dylan-deshmukh-11,Medical camp,Patient,Dermatology
Denver,UNITED STATES,Ajay,"173, Health Street",[],meera.nair12@quantiphi.com,11/14/2025,EVT-MED-2025-001,Community Medical Camp 2025,Meera,Nair,Public Health Mission 120,6372133260,Community,https://linkedin.com/in/meera-nair-12,Medical camp,Organizer,Orthopedics
BLOOMINGTON,UNITED STATES,INDIANA,"1, Health Street","[{""connectionOrg"": ""Community Medical Foundation 33"", ""connectionType"": ""Funding / partnership"", ""otherText"": """"}]",aarav.reddy13yahoo.com,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Aarav,Reddy,Regional Health Trust 194,6358869280,Business,https://linkedin.com/in/aarav-reddy-13,Medical camp,Nurse,Orthopedics
Los Angeles,UNITED STATES,Nowhere,"131, Health Street","[{""connectionOrg"": ""Community Medical Foundation 16"", ""connectionType"": ""Shared info / resources"", ""otherText"": """"}]",kunal.khan14@iu.edu,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Kunal,Khan,Community Medical Foundation 23,6302902754,Other,https://linkedin.com/in/kunal-khan-14,Medical camp,Volunteer,Pediatrics
Delhi,INDIA,Delhi,"70, Health Street",[],rohan.nair15@gmail.com,11/15/2025,EVT-MED-2025-001,Community Medical Camp 2025,Rohan,Nair,Public Health Mission 71,6353147610,Non-profit,https://linkedin.com/in/rohan-nair-15,Medical camp,Doctor,General
Bengaluru,INDIA,Karnataka,"90, Health Street","[{""connectionOrg"": ""Rural Care Initiative 158"", ""connectionType"": ""Met for the first time"", ""otherText"": """"}]",sahil.iyer16@quantiphi.com,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Sahil,Iyer,Rural Care Initiative 7,6316944339,Education,https://linkedin.com/in/sahil-iyer-16,Medical camp,Volunteer,General
Delhi,INDIA,Delhi,"80, Health Street",[],ananya.jones17@srmist.in.edu,11/15/2025,EVT-MED-2025-001,Community Medical Camp 2025,Ananya,Jones,Public Health Mission 151,6309059215,Other,https://linkedin.com/in/ananya-jones-17,Medical camp,Nurse,Orthopedics
Pune,INDIA,Maharashtra,"114, Health Street","[{""connectionOrg"": ""Public Health Mission 185"", ""connectionType"": ""Reconnected / existing relationship"", ""otherText"": """"}]",ananya.garcia18@amazon.com,11/14/2025,EVT-MED-2025-001,Community Medical Camp 2025,Ananya,Garcia,Regional Health Trust 122,6380435339,Non-profit,https://linkedin.com/in/ananya-garcia-18,Medical camp,Nurse,Dermatology
OKKAJ,INDIA,PLEASE SELECT ST,"45, Health Street","[{""connectionOrg"": ""Public Health Mission 114"", ""connectionType"": ""Other"", ""otherText"": """"}]",prachi.verma19yahoo.com,11/13/2025,EVT-MED-2025-001,Community Medical Camp 2025,PRACHI,V,OpenHands Health Trust,6318554857,Business,LINK,Medical camp,Volunteer,Pediatrics
Los Angeles,UNITED STATES,Nowhere,"105, Health Street","[{""connectionOrg"": ""Community Medical Foundation 186"", ""connectionType"": ""Other"", ""otherText"": """"}]",nithya.patel20@gmail.com,11/13/2025,EVT-MED-2025-001,Community Medical Camp 2025,Nithya,Patel,Rural Care Initiative 188,6352353087,Non-profit,https://linkedin.com/in/nithya-patel-20,Medical camp,Patient,Dermatology
Denver,UNITED STATES,Ajay,"53, Health Street","[{""connectionOrg"": ""Regional Health Trust 2"", ""connectionType"": ""Reconnected / existing relationship"", ""otherText"": """"}]",aarav.verma21@quantiphi.com,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Aarav,Verma,Regional Health Trust 107,6326270307,Community,https://linkedin.com/in/aarav-verma-21,Medical camp,Nurse,Orthopedics
Los Angeles,UNITED STATES,Nowhere,"155, Health Street","[{""connectionOrg"": ""Rural Care Initiative 36"", ""connectionType"": ""Met for the first time"", ""otherText"": """"}]",ananya.patel22@iu.edu,11/15/2025,EVT-MED-2025-001,Community Medical Camp 2025,Ananya,Patel,Community Medical Foundation 111,6329230001,Community,https://linkedin.com/in/ananya-patel-22,Medical camp,Patient,General
